"","TC_Data3.Date","TC_Impressions","TC_Clicks","TC_Cost","TC_AvgPos","TC_Conversions","TC_Revenue"
"1","5/11/2015","1890949","42155","150067.4893","1.333912811",0,0
"2","5/12/2015","1983441","41661","149392.7297",NA,0,0
"3","5/13/2015",NA,"40816","145967.81",NA,0,0
"4","5/14/2015","1834606","38542",NA,NA,0,0
"5","5/15/2015","1615349","37915","125895.2695","1.308209074",0,0
"6","5/16/2015",NA,"30185",NA,"1.260115736",0,0
"7","5/17/2015","1616696","28824","103047.0995","1.254772913",0,0
"8","5/18/2015","1934302",NA,"150017.9595",NA,0,0
"9","5/19/2015",NA,"40673","151341.3197","1.348716484",0,0
"10","5/20/2015","1849081","40182",NA,"1.33769043",0,0
"11","5/21/2015","1831216","40290",NA,NA,0,0
"12","5/22/2015","1549618","37929","124572.6802","1.322265737",0,0
"13","5/23/2015",NA,"28843",NA,"1.291029687",0,0
"14","5/24/2015","1421178","26064",NA,NA,0,0
"15","5/25/2015","1683713","36063",NA,"1.274606031",0,0
"16","5/26/2015","2084863",NA,NA,"1.314785214",0,0
"17","5/27/2015",NA,"44309","159398.9907","1.354935901",0,0
"18","5/28/2015","2099927","43601","149777.9605",NA,0,0
"19","5/29/2015",NA,NA,"128674.0705","1.315748314",0,0
"20","5/30/2015","2245311","36208","101893.8598","1.236371855",0,0
"21","5/31/2015","2424579","36383","102399.0203",NA,0,0
"22","6/1/2015","2899378","53850",NA,"1.307247527",0,1523409726
"23","6/2/2015","2526929","53049","155869.4097","1.299648587",0,0
"24","6/3/2015","2270625","50778","150954.9117","1.337531851",0,0
"25","6/4/2015","1945757","49008","139724.5788","1.35404951",0,0
"26","6/5/2015","1858231","47197","130057.94",NA,0,0
"27","6/6/2015","1495043","36546","103334.8809",NA,0,0
"28","6/7/2015",NA,"33413","99715.56024","1.298961659",0,0
"29","6/8/2015","2173146",NA,"149926.2985","1.312757104",0,0
"30","6/9/2015","2619284",NA,"152285.2695","1.260383518",0,0
"31","6/10/2015","2336833",NA,"142569.1711","1.294663471",0,0
"32","6/11/2015","2005009",NA,"139010.1887",NA,0,0
"33","6/12/2015","1705393",NA,"126081.1396","1.319089783",0,0
"34","6/13/2015","1490609",NA,"98621.2703","1.290459339",0,0
"35","6/14/2015","1751258","34128","100780.16",NA,0,0
"36","6/15/2015","2292898","50874","151261.1186","1.295034739",0,0
"37","6/16/2015",NA,"47769",NA,"1.321702698",0,0
"38","6/17/2015","1869603","46003","143738.3601","1.323558029",0,0
"39","6/18/2015","1833572","45914","139079.3004","1.311342184",0,0
"40","6/19/2015","1505433","42386","121445.7998","1.356340264",0,0
"41","6/21/2015","1228948","29222","92862.17944","1.302308376",0,0
"42","6/22/2015","1677646","46230","137724.8087","1.334038536",0,0
"43","6/24/2015",NA,"43318","128944.1804","1.361380039",4462,214217.1469
"44","6/25/2015","1575339","43299",NA,NA,5214,231417.9693
"45","6/26/2015","1366983","41755","110274.829","1.336841399",4646,245911.1303
"46","6/27/2015","1297239",NA,"92094.06997",NA,4560,193749.8739
"47","6/28/2015","1306008","33191","93171.40026",NA,4437,203705.1129
"48","6/29/2015","1588144","46086","131357.4996",NA,6111,317470.8652
"49","6/30/2015",NA,"48392","131014.1599","1.378984336",2912,163589.2555
"50","7/1/2015","1929662","50286","128532.6608",NA,0,0
"51","7/2/2015","1780797","47002","120118.3491","1.325373395",5047,271596.1449
"52","7/3/2015",NA,"40145","102175.3605","1.305697154",4137,222410.4883
"53","7/4/2015",NA,"26161","69100.94951","1.2771609",3398,163370.6596
"54","7/5/2015",NA,"30365","84709.88987","1.312809203",4025,173153.6328
"55","7/6/2015",NA,NA,"146575.4202","1.326161851",6696,351260.6993
"56","7/7/2015",NA,NA,"152303.8812","1.314189487",7191,368298.1436
"57","7/8/2015",NA,"44964","146456.9596","1.310353076",7240,404633.4341
"58","7/9/2015","234219589","43542","139547.2696","1.337855631",6856,370311.7614
